Year,PHEV,BEV,FCEV,HEV,gas_emission,Total,billion_mileage
1995,0.00 ,-0.02 ,0.00 ,0.00 ,-1.00 ,843.44 ,8.20 
1996,0.00 ,0.02 ,0.00 ,0.00 ,4.10 ,594.16 ,11.40 
1997,0.00 ,0.02 ,0.00 ,0.00 ,1.30 ,461.63 ,9.20 
1998,0.00 ,0.04 ,0.00 ,0.00 ,-0.90 ,681.61 ,8.20 
1999,0.00 ,0.04 ,0.00 ,0.00 ,0.90 ,430.61 ,8.50 
2000,0.00 ,0.03 ,0.00 ,0.18 ,-0.90 ,720.32 ,-0.80 
2001,0.00 ,0.05 ,0.00 ,0.59 ,-0.20 ,656.06 ,6.40 
2002,0.00 ,0.05 ,0.00 ,0.32 ,2.30 ,458.47 ,11.10 
2003,0.00 ,0.02 ,0.00 ,0.39 ,-0.50 ,787.70 ,3.00 
2004,0.00 ,0.05 ,0.00 ,1.55 ,1.00 ,492.30 ,7.20 
2005,0.00 ,0.17 ,0.00 ,5.28 ,0.70 ,88.77 ,0.00 
2006,0.00 ,0.24 ,0.00 ,8.59 ,0.00 ,391.09 ,7.20 
2007,0.00 ,0.39 ,0.00 ,15.15 ,1.10 ,160.44 ,4.30 
2008,0.00 ,0.13 ,0.00 ,14.98 ,-5.10 ,85.77 ,-4.80 
2009,0.00 ,0.13 ,0.00 ,14.31 ,-4.10 ,174.41 ,-4.80 
2010,0.31 ,0.09 ,0.00 ,20.72 ,-1.40 ,46.41 ,-3.70 
2011,0.21 ,1.07 ,0.00 ,19.98 ,-1.40 ,255.16 ,4.00 
2012,0.57 ,1.46 ,0.00 ,21.92 ,-0.30 ,418.48 ,1.20 
2013,0.59 ,2.10 ,0.00 ,27.31 ,-0.80 ,470.55 ,4.70 
2014,6.19 ,5.94 ,0.00 ,31.11 ,1.50 ,638.81 ,16.50 
2015,15.95 ,8.36 ,0.00 ,39.44 ,2.20 ,600.15 ,11.90 
2016,25.27 ,8.62 ,0.00 ,46.72 ,2.60 ,349.74 ,13.90 
2017,29.41 ,12.14 ,0.07 ,64.16 ,0.20 ,317.42 ,11.20 
2018,37.02 ,14.12 ,0.04 ,78.99 ,-1.50 ,370.85 ,7.00 
