Hour,Number,Mean_duration_time,Mean_charge_supplied
0,54531,18.02,11.6
1,18693,13.07,10.9
2,11798,12.42,9.8
3,9941,13.52,9.3
4,13602,15.16,8.6
5,17027,13.26,8.5
6,31818,9.46,7.7
7,61170,8.57,7.1
8,95900,8.15,7.2
9,108995,8.48,7.3
10,113248,9.59,7.3
11,133071,10.13,7.3
12,137201,10.02,7
13,142556,10.45,7.3
14,150842,12.18,7.7
15,213548,12.44,8
16,277994,13.32,8.7
17,352041,13.57,9.2
18,347549,14.02,9.8
19,275070,14.16,10.3
20,218541,14.01,10.7
21,183362,13.29,11.2
22,136033,13.07,11.6
23,72272,13.29,12.3
