month, fuel price 
Oct 15,111
Nov 15,110.4
Dec 15,107.9
Jan 16*,102.5
Jan 17,122.4
Feb 17,122.8
Mar 17,122.3
Apr 17,120.9
May 17,117.7
Jun 17,117.6
Jul 17,115.7
Aug 17,117.7
Sep 17,120.8
Oct 17,120.4
Nov 17,123
Dec 17,123.4
Jan 18,125.1
Feb 18,124.9
Mar 18,122.8
Apr 18,124.8
May 18,129.1
Jun 18,132.1
Jul 18,132.2
Aug 18,132.8
Sep 18,134.6
Oct 18,136.9
Nov 18,136.1
Dec 18,131.4
Jan 19,129.5
Feb 19,129.4
Mar 19,130.9
Apr 19,132.6
May 19,134.6
Jun 19,132.5
Jul 19,131.5
Aug 19,132
Sep 19,131.2
Oct 19,131.8
Nov 19,131
Dec 19,130.2
Jan 20,133.2
Feb 20,128.6
Mar 20,124.9
Apr 20,116.7
May 20,113.6
Jun 20,114.2
Jul 20,118.6
Aug 20,119.2
Sep 20,119.1
Oct 20,118.7
